ArXiV id,Result,Where
1802.09393,Not found,
1810.02350,Not found,
1809.07668,Not found,
1808.06915,Not found,
1810.01662,Not found,
1803.07311,Not found,
1808.09753,Not found,
1806.09739,Not found,
1805.03450,Not found,
1801.10270,Not found,
1810.08862,Not found,
1807.07387,Not found,
1811.10821,Not found,
1810.02659,Not found,
1801.02075,Not found,
1805.02105,Not found,
1808.10363,Not found,
1804.06760,Not found,
1803.10322,Not found,
1807.10953,Not found,
1809.03435,Not found,
1807.03649,Not found,
1812.09261,Not found,
1807.09537,Not found,
1812.03145,Not found,
1802.02374,Not found,
1807.01928,Not found,
1810.12041,Not found,
1805.07354,Not found,
1809.06317,Not found,
1806.02577,Not found,
1812.06269,Not found,
1806.09059,Not found,
1802.08547,Not found,
1801.06107,Not found,
1812.10706,Not found,
1811.04211,Not found,
1803.05282,Not found,
1803.01972,Not found,
1805.09614,Not found,
1803.08097,Not found,
1803.07519,Not found,
1805.09919,Not found,
1801.06267,Not found,
